,Name,Total Pop,White Pop,Black Pop,Household Type,Computer,State,County,Tract,Block Group
1,"Block Group 3, Census Tract 402, Botetourt County, Virginia",1484,55,1420,610,1271,51,023,040200,3
2,"Block Group 2, Census Tract 402, Botetourt County, Virginia",731,26,705,262,676,51,023,040200,2
3,"Block Group 1, Census Tract 404.04, Virginia Beach city, Virginia",3801,339,2783,1660,3753,51,810,040404,1
4,"Block Group 3, Census Tract 404.04, Virginia Beach city, Virginia",894,388,407,314,894,51,810,040404,3
5,"Block Group 2, Census Tract 404.04, Virginia Beach city, Virginia",2298,233,1837,967,2200,51,810,040404,2
6,"Block Group 4, Census Tract 404.04, Virginia Beach city, Virginia",984,335,509,420,935,51,810,040404,4
7,"Block Group 1, Census Tract 448.06, Virginia Beach city, Virginia",2122,846,927,923,1978,51,810,044806,1
8,"Block Group 3, Census Tract 448.06, Virginia Beach city, Virginia",545,177,350,201,535,51,810,044806,3
9,"Block Group 1, Census Tract 458.10, Virginia Beach city, Virginia",2164,1226,642,751,2108,51,810,045810,1
10,"Block Group 3, Census Tract 460.13, Virginia Beach city, Virginia",720,194,343,267,720,51,810,046013,3
11,"Block Group 2, Census Tract 460.13, Virginia Beach city, Virginia",1700,501,658,590,1659,51,810,046013,2
12,"Block Group 2, Census Tract 410.03, Virginia Beach city, Virginia",1048,378,512,484,1037,51,810,041003,2
13,"Block Group 1, Census Tract 410.03, Virginia Beach city, Virginia",809,106,684,326,799,51,810,041003,1
14,"Block Group 2, Census Tract 456.01, Virginia Beach city, Virginia",2191,417,1259,722,2136,51,810,045601,2
15,"Block Group 3, Census Tract 404.03, Virginia Beach city, Virginia",1071,149,785,473,915,51,810,040403,3
16,"Block Group 1, Census Tract 103.06, Hampton city, Virginia",2156,593,1034,771,2156,51,650,010306,1
17,"Block Group 2, Census Tract 103.06, Hampton city, Virginia",2053,1045,742,780,2037,51,650,010306,2
18,"Block Group 1, Census Tract 103.07, Hampton city, Virginia",3472,2035,924,1218,3301,51,650,010307,1
19,"Block Group 2, Census Tract 107.01, Hampton city, Virginia",1919,1372,368,751,1868,51,650,010701,2
20,"Block Group 1, Census Tract 108, Hampton city, Virginia",2162,620,1210,940,1895,51,650,010800,1
21,"Block Group 1, Census Tract 114, Hampton city, Virginia",2226,2012,73,228,449,51,650,011400,1
22,"Block Group 1, Census Tract 116, Hampton city, Virginia",1434,879,281,520,1387,51,650,011600,1
23,"Block Group 2, Census Tract 116, Hampton city, Virginia",914,662,209,492,832,51,650,011600,2
24,"Block Group 5, Census Tract 101.03, Hampton city, Virginia",1379,340,1039,498,1365,51,650,010103,5
25,"Block Group 6, Census Tract 101.03, Hampton city, Virginia",707,114,577,270,707,51,650,010103,6
26,"Block Group 2, Census Tract 101.03, Hampton city, Virginia",2049,341,1653,620,2049,51,650,010103,2
27,"Block Group 2, Census Tract 101.04, Hampton city, Virginia",1759,575,1004,484,1708,51,650,010104,2
28,"Block Group 1, Census Tract 101.04, Hampton city, Virginia",1136,271,578,495,1049,51,650,010104,1
29,"Block Group 5, Census Tract 101.04, Hampton city, Virginia",1473,1073,279,564,1451,51,650,010104,5
30,"Block Group 1, Census Tract 8401, Dinwiddie County, Virginia",1573,604,969,505,1397,51,053,840100,1
31,"Block Group 1, Census Tract 8406, Dinwiddie County, Virginia",1147,374,773,481,1081,51,053,840600,1
32,"Block Group 3, Census Tract 8406, Dinwiddie County, Virginia",2291,699,1555,895,2056,51,053,840600,3
33,"Block Group 2, Census Tract 8406, Dinwiddie County, Virginia",1613,458,1019,594,1455,51,053,840600,2
34,"Block Group 1, Census Tract 404.03, Virginia Beach city, Virginia",1239,500,450,669,1147,51,810,040403,1
35,"Block Group 1, Census Tract 9507, Essex County, Virginia",1697,975,684,768,1193,51,057,950700,1
36,"Block Group 2, Census Tract 111, Pittsylvania County, Virginia",1352,643,709,626,1217,51,143,011100,2
37,"Block Group 1, Census Tract 111, Pittsylvania County, Virginia",1365,189,1064,571,1243,51,143,011100,1
38,"Block Group 1, Census Tract 109, Pittsylvania County, Virginia",1210,72,1103,497,1091,51,143,010900,1
39,"Block Group 4, Census Tract 8, Charlottesville city, Virginia",1716,330,1154,684,1303,51,540,000800,4
40,"Block Group 2, Census Tract 5.01, Charlottesville city, Virginia",827,401,357,253,687,51,540,000501,2
41,"Block Group 3, Census Tract 5.01, Charlottesville city, Virginia",1789,812,862,578,1625,51,540,000501,3
42,"Block Group 1, Census Tract 5.01, Charlottesville city, Virginia",1462,704,478,624,1198,51,540,000501,1
43,"Block Group 3, Census Tract 7, Charlottesville city, Virginia",904,67,649,396,698,51,540,000700,3
44,"Block Group 4, Census Tract 7, Charlottesville city, Virginia",1004,40,764,231,459,51,540,000700,4
45,"Block Group 2, Census Tract 7, Charlottesville city, Virginia",1674,32,1385,545,1207,51,540,000700,2
46,"Block Group 1, Census Tract 7, Charlottesville city, Virginia",1067,31,1036,473,1059,51,540,000700,1
47,"Block Group 4, Census Tract 205, Campbell County, Virginia",1628,109,1467,650,1591,51,031,020500,4
48,"Block Group 2, Census Tract 205, Campbell County, Virginia",2205,112,2093,945,1923,51,031,020500,2
49,"Block Group 1, Census Tract 205, Campbell County, Virginia",2186,406,1706,840,2009,51,031,020500,1
50,"Block Group 3, Census Tract 205, Campbell County, Virginia",1732,420,1220,659,1532,51,031,020500,3
51,"Block Group 1, Census Tract 2001.20, Henrico County, Virginia",1540,280,1006,879,1471,51,087,200120,1
52,"Block Group 3, Census Tract 2001.20, Henrico County, Virginia",3845,584,2774,1380,3591,51,087,200120,3
53,"Block Group 1, Census Tract 2005.01, Henrico County, Virginia",830,228,411,316,732,51,087,200501,1
54,"Block Group 3, Census Tract 101, Henry County, Virginia",343,96,132,123,343,51,089,010100,3
55,"Block Group 1, Census Tract 101, Henry County, Virginia",2468,202,2230,925,2303,51,089,010100,1
56,"Block Group 1, Census Tract 15, Norfolk city, Virginia",605,129,450,247,596,51,710,001500,1
57,"Block Group 2, Census Tract 7, Norfolk city, Virginia",2120,240,1770,697,2089,51,710,000700,2
58,"Block Group 2, Census Tract 11, Norfolk city, Virginia",839,317,189,308,759,51,710,001100,2
59,"Block Group 1, Census Tract 4304, Fairfax County, Virginia",2504,28,1558,714,2478,51,059,430400,1
60,"Block Group 2, Census Tract 4304, Fairfax County, Virginia",2605,268,1625,778,2605,51,059,430400,2
61,"Block Group 2, Census Tract 4603, Fairfax County, Virginia",2303,0,1842,745,2293,51,059,460300,2
62,"Block Group 2, Census Tract 4519, Fairfax County, Virginia",2261,329,1581,1225,2231,51,059,451900,2
63,"Block Group 1, Census Tract 4519, Fairfax County, Virginia",1339,285,540,547,1284,51,059,451900,1
64,"Block Group 1, Census Tract 14, Norfolk city, Virginia",1062,397,443,658,783,51,710,001400,1
65,"Block Group 2, Census Tract 14, Norfolk city, Virginia",962,315,524,354,931,51,710,001400,2
66,"Block Group 3, Census Tract 31, Norfolk city, Virginia",1371,987,353,560,1201,51,710,003100,3
67,"Block Group 1, Census Tract 21, Norfolk city, Virginia",1426,177,1195,632,1364,51,710,002100,1
68,"Block Group 1, Census Tract 23, Norfolk city, Virginia",1151,5,1101,413,1139,51,710,002300,1
69,"Block Group 3, Census Tract 56.01, Norfolk city, Virginia",1305,77,1091,474,1290,51,710,005601,3
70,"Block Group 4, Census Tract 56.01, Norfolk city, Virginia",2063,466,1387,662,1976,51,710,005601,4
71,"Block Group 2, Census Tract 56.01, Norfolk city, Virginia",574,151,414,248,546,51,710,005601,2
72,"Block Group 3, Census Tract 2009, Alexandria city, Virginia",1307,52,1255,452,1307,51,510,200900,3
73,"Block Group 2, Census Tract 110, Albemarle County, Virginia",1254,3,1244,485,1218,51,003,011000,2
74,"Block Group 1, Census Tract 101, Albemarle County, Virginia",1968,49,1900,862,1807,51,003,010100,1
75,"Block Group 1, Census Tract 103, Albemarle County, Virginia",2050,75,1752,801,2050,51,003,010300,1
76,"Block Group 2, Census Tract 103, Albemarle County, Virginia",942,28,828,420,809,51,003,010300,2
77,"Block Group 1, Census Tract 109.02, Albemarle County, Virginia",1941,118,1403,413,1033,51,003,010902,1
78,"Block Group 1, Census Tract 410.02, Virginia Beach city, Virginia",1466,220,973,566,1453,51,810,041002,1
79,"Block Group 2, Census Tract 410.02, Virginia Beach city, Virginia",695,14,388,326,688,51,810,041002,2
80,"Block Group 3, Census Tract 412, Virginia Beach city, Virginia",1262,231,1012,623,1226,51,810,041200,3
81,"Block Group 2, Census Tract 412, Virginia Beach city, Virginia",2659,207,2423,1060,2593,51,810,041200,2
82,"Block Group 2, Census Tract 414, Virginia Beach city, Virginia",1600,101,1372,564,1558,51,810,041400,2
83,"Block Group 1, Census Tract 414, Virginia Beach city, Virginia",2181,182,1671,747,2151,51,810,041400,1
84,"Block Group 3, Census Tract 424, Virginia Beach city, Virginia",1406,239,990,447,1279,51,810,042400,3
85,"Block Group 4, Census Tract 424, Virginia Beach city, Virginia",1229,54,1066,468,1187,51,810,042400,4
86,"Block Group 2, Census Tract 210.05, Chesapeake city, Virginia",1789,674,894,324,836,51,550,021005,2
87,"Block Group 2, Census Tract 212, Chesapeake city, Virginia",2442,66,2194,816,2417,51,550,021200,2
88,"Block Group 3, Census Tract 212, Chesapeake city, Virginia",1884,95,1734,418,1396,51,550,021200,3
89,"Block Group 1, Census Tract 3703, Williamsburg city, Virginia",2240,230,1865,1175,2174,51,830,370300,1
90,"Block Group 2, Census Tract 3703, Williamsburg city, Virginia",2064,221,1511,370,1004,51,830,370300,2
91,"Block Group 1, Census Tract 3701, Williamsburg city, Virginia",733,46,591,218,434,51,830,370100,1
92,"Block Group 2, Census Tract 3701, Williamsburg city, Virginia",1310,67,1016,394,811,51,830,370100,2
93,"Block Group 2, Census Tract 3702, Williamsburg city, Virginia",831,42,726,438,821,51,830,370200,2
94,"Block Group 3, Census Tract 3702, Williamsburg city, Virginia",1023,383,487,488,974,51,830,370200,3
95,"Block Group 1, Census Tract 418.01, Virginia Beach city, Virginia",1593,0,1339,634,1593,51,810,041801,1
96,"Block Group 2, Census Tract 418.01, Virginia Beach city, Virginia",1934,126,1560,1143,1825,51,810,041801,2
97,"Block Group 1, Census Tract 430.02, Virginia Beach city, Virginia",2368,7,1983,807,2289,51,810,043002,1
98,"Block Group 2, Census Tract 434, Virginia Beach city, Virginia",1482,0,1457,672,1441,51,810,043400,2
99,"Block Group 1, Census Tract 434, Virginia Beach city, Virginia",760,0,677,383,746,51,810,043400,1
100,"Block Group 2, Census Tract 442, Virginia Beach city, Virginia",2711,1151,1099,988,2476,51,810,044200,2
101,"Block Group 2, Census Tract 202, Warren County, Virginia",339,23,316,112,339,51,187,020200,2
102,"Block Group 1, Census Tract 202, Warren County, Virginia",1575,46,1490,574,1535,51,187,020200,1
103,"Block Group 1, Census Tract 2018.02, Alexandria city, Virginia",1152,373,728,519,1120,51,510,201802,1
104,"Block Group 1, Census Tract 2001.04, Alexandria city, Virginia",2878,628,1745,1180,2842,51,510,200104,1
105,"Block Group 1, Census Tract 2001.05, Alexandria city, Virginia",1481,829,589,777,1481,51,510,200105,1
106,"Block Group 3, Census Tract 2002.01, Alexandria city, Virginia",1141,199,716,511,1104,51,510,200201,3
107,"Block Group 2, Census Tract 2002.01, Alexandria city, Virginia",1017,120,825,468,869,51,510,200201,2
108,"Block Group 1, Census Tract 2003.01, Alexandria city, Virginia",1978,426,1188,881,1915,51,510,200301,1
109,"Block Group 2, Census Tract 502, Richmond city, Virginia",1408,0,1305,669,1397,51,760,050200,2
110,"Block Group 1, Census Tract 502, Richmond city, Virginia",1009,5,968,471,949,51,760,050200,1
111,"Block Group 1, Census Tract 604, Richmond city, Virginia",927,887,17,449,490,51,760,060400,1
112,"Block Group 5, Census Tract 604, Richmond city, Virginia",1640,889,728,482,1622,51,760,060400,5
113,"Block Group 1, Census Tract 701, Richmond city, Virginia",2837,199,2584,1234,2780,51,760,070100,1
114,"Block Group 2, Census Tract 1101.02, Orange County, Virginia",2398,583,1685,836,2090,51,137,110102,2
115,"Block Group 3, Census Tract 1101.02, Orange County, Virginia",1829,299,1412,743,1663,51,137,110102,3
116,"Block Group 2, Census Tract 204.05, Spotsylvania County, Virginia",935,150,752,278,823,51,177,020405,2
117,"Block Group 1, Census Tract 204.08, Spotsylvania County, Virginia",3000,289,2376,873,2940,51,177,020408,1
118,"Block Group 2, Census Tract 4820.01, Fairfax County, Virginia",2780,111,2015,909,2780,51,059,482001,2
119,"Block Group 4, Census Tract 105.02, Salem city, Virginia",1597,29,1516,690,1528,51,775,010502,4
120,"Block Group 2, Census Tract 9502.01, Louisa County, Virginia",2004,685,1165,897,1662,51,109,950201,2
121,"Block Group 3, Census Tract 9502.01, Louisa County, Virginia",1771,367,1079,610,1522,51,109,950201,3
122,"Block Group 1, Census Tract 9502.01, Louisa County, Virginia",1801,316,1451,706,1683,51,109,950201,1
123,"Block Group 2, Census Tract 6112.05, Loudoun County, Virginia",3848,325,2121,999,3848,51,107,611205,2
124,"Block Group 4, Census Tract 6103, Loudoun County, Virginia",1731,114,1311,564,1731,51,107,610300,4
125,"Block Group 3, Census Tract 6110.04, Loudoun County, Virginia",3048,230,2160,960,3048,51,107,611004,3
126,"Block Group 2, Census Tract 6110.04, Loudoun County, Virginia",903,0,767,463,893,51,107,611004,2
127,"Block Group 3, Census Tract 6107.03, Loudoun County, Virginia",1108,0,1058,363,1108,51,107,610703,3
128,"Block Group 1, Census Tract 6107.03, Loudoun County, Virginia",1775,8,1579,619,1758,51,107,610703,1
129,"Block Group 2, Census Tract 6107.03, Loudoun County, Virginia",1923,82,1674,612,1851,51,107,610703,2
130,"Block Group 2, Census Tract 6102.02, Loudoun County, Virginia",2036,19,1797,627,2031,51,107,610202,2
131,"Block Group 3, Census Tract 101, Washington County, Virginia",2720,4,2537,1217,2559,51,191,010100,3
132,"Block Group 2, Census Tract 110, Washington County, Virginia",1503,0,1503,637,1409,51,191,011000,2
133,"Block Group 3, Census Tract 107, Washington County, Virginia",1752,9,1594,726,1573,51,191,010700,3
134,"Block Group 2, Census Tract 211.02, Chesapeake city, Virginia",2333,295,2017,872,2308,51,550,021102,2
135,"Block Group 3, Census Tract 211.02, Chesapeake city, Virginia",3723,2109,1475,199,596,51,550,021102,3
136,"Block Group 2, Census Tract 4224.02, Fairfax County, Virginia",667,121,489,286,667,51,059,422402,2
137,"Block Group 1, Census Tract 4224.02, Fairfax County, Virginia",3379,855,1816,1109,3350,51,059,422402,1
138,"Block Group 3, Census Tract 4211.03, Fairfax County, Virginia",974,81,705,350,974,51,059,421103,3
139,"Block Group 2, Census Tract 4211.03, Fairfax County, Virginia",2492,292,1704,762,2492,51,059,421103,2
140,"Block Group 4, Census Tract 4211.03, Fairfax County, Virginia",1279,197,915,602,1267,51,059,421103,4
141,"Block Group 2, Census Tract 4810, Fairfax County, Virginia",3670,250,1679,856,3670,51,059,481000,2
142,"Block Group 1, Census Tract 9803, Fairfax County, Virginia",0,0,0,0,0,51,059,980300,1
143,"Block Group 2, Census Tract 6110.25, Loudoun County, Virginia",3262,577,1559,1216,3262,51,107,611025,2
144,"Block Group 2, Census Tract 6110.24, Loudoun County, Virginia",6455,647,3644,1786,6439,51,107,611024,2
145,"Block Group 2, Census Tract 6118.06, Loudoun County, Virginia",6893,771,2882,1993,6719,51,107,611806,2
146,"Block Group 3, Census Tract 6118.06, Loudoun County, Virginia",7681,1027,3133,2233,7681,51,107,611806,3
147,"Block Group 2, Census Tract 6110.14, Loudoun County, Virginia",2408,136,1933,858,2391,51,107,611014,2
148,"Block Group 2, Census Tract 6110.18, Loudoun County, Virginia",1271,15,1226,888,1006,51,107,611018,2
149,"Block Group 4, Census Tract 9301, Rockbridge County, Virginia",911,0,858,395,708,51,163,930100,4
150,"Block Group 3, Census Tract 9301, Rockbridge County, Virginia",1691,46,1619,670,1563,51,163,930100,3
151,"Block Group 3, Census Tract 9301.02, Culpeper County, Virginia",3369,0,3072,1243,3245,51,047,930102,3
152,"Block Group 2, Census Tract 104.01, Albemarle County, Virginia",1187,51,1136,442,1024,51,003,010401,2
153,"Block Group 1, Census Tract 104.01, Albemarle County, Virginia",1864,61,1768,841,1732,51,003,010401,1
154,"Block Group 2, Census Tract 6118.04, Loudoun County, Virginia",4961,342,1602,1649,4930,51,107,611804,2
155,"Block Group 1, Census Tract 6118.04, Loudoun County, Virginia",1402,149,800,594,1382,51,107,611804,1
156,"Block Group 3, Census Tract 6118.03, Loudoun County, Virginia",1922,304,907,639,1912,51,107,611803,3
157,"Block Group 2, Census Tract 6118.03, Loudoun County, Virginia",1819,197,1174,591,1812,51,107,611803,2
158,"Block Group 1, Census Tract 6118.05, Loudoun County, Virginia",2838,166,1813,846,2838,51,107,611805,1
159,"Block Group 1, Census Tract 9306, Buena Vista city, Virginia",1354,99,1213,512,777,51,530,930600,1
160,"Block Group 2, Census Tract 9306, Buena Vista city, Virginia",715,164,549,258,573,51,530,930600,2
161,"Block Group 2, Census Tract 511.02, Frederick County, Virginia",2613,394,1947,619,1548,51,069,051102,2
162,"Block Group 3, Census Tract 511.02, Frederick County, Virginia",2754,206,2476,1081,2312,51,069,051102,3
163,"Block Group 2, Census Tract 511.01, Frederick County, Virginia",1813,26,1782,635,1813,51,069,051101,2
164,"Block Group 1, Census Tract 511.01, Frederick County, Virginia",3465,243,2990,1021,3429,51,069,051101,1
165,"Block Group 3, Census Tract 106, Buchanan County, Virginia",1022,0,1022,466,848,51,027,010600,3
166,"Block Group 4, Census Tract 107, Buchanan County, Virginia",1282,0,1268,519,737,51,027,010700,4
167,"Block Group 1, Census Tract 4809.01, Fairfax County, Virginia",774,1,607,288,757,51,059,480901,1
168,"Block Group 1, Census Tract 312.02, Roanoke County, Virginia",4002,271,3391,1547,3906,51,161,031202,1
169,"Block Group 3, Census Tract 312.02, Roanoke County, Virginia",710,16,662,269,698,51,161,031202,3
170,"Block Group 3, Census Tract 108, Hampton city, Virginia",987,255,710,448,987,51,650,010800,3
171,"Block Group 1, Census Tract 111, Hampton city, Virginia",479,24,442,219,453,51,650,011100,1
172,"Block Group 3, Census Tract 103.09, Hampton city, Virginia",1940,1292,555,838,1918,51,650,010309,3
173,"Block Group 2, Census Tract 114, Hampton city, Virginia",555,425,99,0,0,51,650,011400,2
174,"Block Group 1, Census Tract 9301, Prince Edward County, Virginia",967,465,477,345,323,51,147,930100,1
175,"Block Group 3, Census Tract 9301, Prince Edward County, Virginia",2460,755,1482,970,2090,51,147,930100,3
176,"Block Group 2, Census Tract 9301, Prince Edward County, Virginia",3259,805,2258,1160,2673,51,147,930100,2
177,"Block Group 3, Census Tract 9302.02, Prince Edward County, Virginia",974,605,344,350,677,51,147,930202,3
178,"Block Group 2, Census Tract 9302.02, Prince Edward County, Virginia",1784,691,1079,665,1634,51,147,930202,2
179,"Block Group 1, Census Tract 9302.02, Prince Edward County, Virginia",825,336,447,333,725,51,147,930202,1
180,"Block Group 4, Census Tract 9303, Prince Edward County, Virginia",1266,274,992,507,1006,51,147,930300,4
181,"Block Group 5, Census Tract 9303, Prince Edward County, Virginia",1601,652,946,614,1510,51,147,930300,5
182,"Block Group 3, Census Tract 9303, Prince Edward County, Virginia",1213,382,821,480,988,51,147,930300,3
183,"Block Group 1, Census Tract 9303, Prince Edward County, Virginia",1168,606,555,372,1040,51,147,930300,1
184,"Block Group 1, Census Tract 9302.03, Prince Edward County, Virginia",1458,156,1158,8,12,51,147,930203,1
185,"Block Group 1, Census Tract 9302.01, Prince Edward County, Virginia",2693,786,1644,580,847,51,147,930201,1
186,"Block Group 4, Census Tract 6106.01, Loudoun County, Virginia",1662,27,1515,571,1662,51,107,610601,4
187,"Block Group 3, Census Tract 6117, Loudoun County, Virginia",2801,75,1127,794,2801,51,107,611700,3
188,"Block Group 4, Census Tract 204.03, Spotsylvania County, Virginia",990,88,854,305,990,51,177,020403,4
189,"Block Group 3, Census Tract 108, Henry County, Virginia",1077,734,313,416,896,51,089,010800,3
190,"Block Group 2, Census Tract 108, Henry County, Virginia",866,439,414,322,774,51,089,010800,2
191,"Block Group 2, Census Tract 110, Henry County, Virginia",1774,77,1697,668,1375,51,089,011000,2
192,"Block Group 1, Census Tract 110, Henry County, Virginia",1870,725,1069,742,1687,51,089,011000,1
193,"Block Group 3, Census Tract 105, Henry County, Virginia",990,540,430,414,596,51,089,010500,3
194,"Block Group 1, Census Tract 105, Henry County, Virginia",1550,377,780,507,1450,51,089,010500,1
195,"Block Group 2, Census Tract 105, Henry County, Virginia",1313,18,1162,653,1015,51,089,010500,2
196,"Block Group 2, Census Tract 109, Henry County, Virginia",906,106,800,319,744,51,089,010900,2
197,"Block Group 1, Census Tract 109, Henry County, Virginia",1592,384,1167,759,1331,51,089,010900,1
198,"Block Group 2, Census Tract 112, Henry County, Virginia",1001,28,960,412,865,51,089,011200,2
199,"Block Group 2, Census Tract 109, Pittsylvania County, Virginia",1545,97,1298,635,1313,51,143,010900,2
200,"Block Group 3, Census Tract 8205, Hopewell city, Virginia",552,95,457,274,436,51,670,820500,3
201,"Block Group 4, Census Tract 8205, Hopewell city, Virginia",1268,487,781,523,1238,51,670,820500,4
202,"Block Group 1, Census Tract 8205, Hopewell city, Virginia",891,193,673,326,775,51,670,820500,1
203,"Block Group 2, Census Tract 8205, Hopewell city, Virginia",1489,761,715,532,1480,51,670,820500,2
204,"Block Group 1, Census Tract 8207, Hopewell city, Virginia",2430,1835,412,991,2298,51,670,820700,1
205,"Block Group 1, Census Tract 8303, Colonial Heights city, Virginia",1319,0,1201,568,1259,51,570,830300,1
206,"Block Group 2, Census Tract 8303, Colonial Heights city, Virginia",1101,181,669,411,1069,51,570,830300,2
207,"Block Group 1, Census Tract 2.03, Harrisonburg city, Virginia",1937,47,1717,698,1878,51,660,000203,1
208,"Block Group 1, Census Tract 460.12, Virginia Beach city, Virginia",3333,996,1979,1488,3306,51,810,046012,1
209,"Block Group 2, Census Tract 460.12, Virginia Beach city, Virginia",2160,55,1353,680,2137,51,810,046012,2
210,"Block Group 3, Census Tract 460.12, Virginia Beach city, Virginia",708,332,255,307,688,51,810,046012,3
211,"Block Group 1, Census Tract 400, Virginia Beach city, Virginia",2010,245,1553,44,142,51,810,040000,1
212,"Block Group 2, Census Tract 402, Virginia Beach city, Virginia",2455,1167,816,550,1614,51,810,040200,2
213,"Block Group 1, Census Tract 402, Virginia Beach city, Virginia",2123,431,1095,714,1996,51,810,040200,1
214,"Block Group 2, Census Tract 406, Virginia Beach city, Virginia",2405,1828,488,1092,2341,51,810,040600,2
215,"Block Group 4, Census Tract 418.02, Virginia Beach city, Virginia",1833,51,1735,926,1689,51,810,041802,4
216,"Block Group 2, Census Tract 418.02, Virginia Beach city, Virginia",1164,47,1033,476,1164,51,810,041802,2
217,"Block Group 1, Census Tract 2005, Alexandria city, Virginia",1647,452,964,1060,1571,51,510,200500,1
218,"Block Group 2, Census Tract 2005, Alexandria city, Virginia",1502,614,650,777,1502,51,510,200500,2
219,"Block Group 2, Census Tract 2008.02, Alexandria city, Virginia",1211,178,908,517,1050,51,510,200802,2
220,"Block Group 2, Census Tract 2019, Alexandria city, Virginia",1032,54,968,514,975,51,510,201900,2
221,"Block Group 1, Census Tract 2019, Alexandria city, Virginia",701,6,658,362,701,51,510,201900,1
222,"Block Group 2, Census Tract 2002.02, Alexandria city, Virginia",755,36,658,294,755,51,510,200202,2
223,"Block Group 1, Census Tract 2006, Alexandria city, Virginia",693,176,493,204,687,51,510,200600,1
224,"Block Group 2, Census Tract 2006, Alexandria city, Virginia",1930,753,922,689,1830,51,510,200600,2
225,"Block Group 2, Census Tract 8203, Hopewell city, Virginia",2431,1277,894,1166,2148,51,670,820300,2
226,"Block Group 1, Census Tract 8201, Hopewell city, Virginia",1249,453,696,604,1119,51,670,820100,1
227,"Block Group 1, Census Tract 8204, Hopewell city, Virginia",1387,355,1032,629,1254,51,670,820400,1
228,"Block Group 3, Census Tract 2006, Alexandria city, Virginia",649,227,251,179,643,51,510,200600,3
229,"Block Group 1, Census Tract 2008.01, Alexandria city, Virginia",1391,154,1033,475,1310,51,510,200801,1
230,"Block Group 2, Census Tract 2008.01, Alexandria city, Virginia",1326,56,1128,473,1303,51,510,200801,2
231,"Block Group 2, Census Tract 2020.01, Alexandria city, Virginia",894,38,844,440,884,51,510,202001,2
232,"Block Group 3, Census Tract 2020.01, Alexandria city, Virginia",620,0,620,294,620,51,510,202001,3
233,"Block Group 3, Census Tract 2003.02, Alexandria city, Virginia",976,308,377,276,976,51,510,200302,3
234,"Block Group 2, Census Tract 2003.02, Alexandria city, Virginia",2063,679,606,429,2063,51,510,200302,2
235,"Block Group 1, Census Tract 711, Richmond city, Virginia",1633,841,659,621,1605,51,760,071100,1
236,"Block Group 2, Census Tract 66.03, Norfolk city, Virginia",996,51,701,396,922,51,710,006603,2
237,"Block Group 2, Census Tract 70.02, Norfolk city, Virginia",1924,1141,664,766,1841,51,710,007002,2
238,"Block Group 1, Census Tract 5, Norfolk city, Virginia",873,294,403,361,864,51,710,000500,1
239,"Block Group 2, Census Tract 5, Norfolk city, Virginia",1182,353,751,554,1163,51,710,000500,2
240,"Block Group 4, Census Tract 5, Norfolk city, Virginia",691,111,580,373,567,51,710,000500,4
241,"Block Group 2, Census Tract 104, Henry County, Virginia",931,443,488,357,873,51,089,010400,2
242,"Block Group 1, Census Tract 104, Henry County, Virginia",1407,329,1019,511,1222,51,089,010400,1
243,"Block Group 2, Census Tract 113, Henry County, Virginia",1538,482,1056,633,1301,51,089,011300,2
244,"Block Group 1, Census Tract 2001.16, Henrico County, Virginia",2042,216,1605,1015,1964,51,087,200116,1
245,"Block Group 2, Census Tract 2001.20, Henrico County, Virginia",2990,0,2598,1108,2955,51,087,200120,2
246,"Block Group 1, Census Tract 116, Rockingham County, Virginia",1157,18,1105,471,1007,51,165,011600,1
247,"Block Group 2, Census Tract 116, Rockingham County, Virginia",954,0,954,374,919,51,165,011600,2
248,"Block Group 3, Census Tract 120, Rockingham County, Virginia",2727,51,2615,1129,2615,51,165,012000,3
249,"Block Group 1, Census Tract 120, Rockingham County, Virginia",1131,0,978,434,995,51,165,012000,1
250,"Block Group 2, Census Tract 120, Rockingham County, Virginia",1542,4,1514,632,1380,51,165,012000,2
251,"Block Group 1, Census Tract 109, Rockingham County, Virginia",1090,4,1071,398,838,51,165,010900,1
252,"Block Group 2, Census Tract 109, Rockingham County, Virginia",1362,6,1205,522,1229,51,165,010900,2
253,"Block Group 3, Census Tract 114, Rockingham County, Virginia",1105,24,1010,423,1091,51,165,011400,3
254,"Block Group 1, Census Tract 114, Rockingham County, Virginia",1070,17,991,372,992,51,165,011400,1
255,"Block Group 2, Census Tract 114, Rockingham County, Virginia",2364,332,1885,910,2279,51,165,011400,2
256,"Block Group 4, Census Tract 114, Rockingham County, Virginia",849,0,810,338,671,51,165,011400,4
257,"Block Group 2, Census Tract 106, Rockingham County, Virginia",1701,0,1686,585,1646,51,165,010600,2
258,"Block Group 2, Census Tract 101, Rockingham County, Virginia",1121,1,1120,428,939,51,165,010100,2
259,"Block Group 1, Census Tract 102, Rockingham County, Virginia",1246,104,1124,509,997,51,165,010200,1
260,"Block Group 2, Census Tract 6103, Loudoun County, Virginia",1984,155,1638,587,1960,51,107,610300,2
261,"Block Group 3, Census Tract 6103, Loudoun County, Virginia",2521,0,2186,784,2513,51,107,610300,3
262,"Block Group 1, Census Tract 6110.06, Loudoun County, Virginia",2444,147,1219,734,2444,51,107,611006,1
263,"Block Group 2, Census Tract 6113, Loudoun County, Virginia",4038,470,2400,1263,3944,51,107,611300,2
264,"Block Group 2, Census Tract 6104, Loudoun County, Virginia",2135,31,1998,865,2118,51,107,610400,2
265,"Block Group 1, Census Tract 6104, Loudoun County, Virginia",2955,116,2725,934,2465,51,107,610400,1
